ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
53,,Neuro-Inclusive Meetings and Events Toolkit ,EPSRC,EPSRC,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Framework,Toolkit,"Policies, Strategies & Processes",Guidance Resources,Document,Academia,Other,EPS - general,Neurodiversity,,,Accessible & Inclusive Workspaces,,No,,,,Proof of Concept,Pilot in single setting
54,Example,"Equality, Diversity and Inclusion Strategies in STEM - Briefing","All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering, and
Mathematics","All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering, and
Mathematics",https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,Available,Included  ,,2025-04-24 00:00:00,2025-04-01 00:00:00,Anna Linton,,"Strategies, policies or processes",Report,"Policies, Strategies & Processes",Policy Document,Document,Not-for-profit,Other,EPS - general,Not Specified,Pipeline Development,,"Diverse Representation, Policy Review & Reform, Data Collection & Monitoring, Accessible & Inclusive Workspaces, Inclusive Leadership",,No,,,,Not applicable,
55,,"Mission Critical Toolkit: Improving National Security Culture, Diversity & Inclusion",HM Government,HM Government,01122021_Mission Critical Toolkit_DIGITAL.pdf,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Framework,Toolkit,"Policies, Strategies & Processes",Guidance Resources,Document,Government,Single University/Organisation,Non-EPS,"Sex, Race, Disability, Neurodiversity, Socio-Economic Background, Religion or Belief","Recruitment Strategies, Visibility & Recognition, Career Progression, Mentorship & Sponsorship","Application Processes, Advertising Approach","Cultural Competency, Inclusive Language, Accessible & Inclusive Workspaces, Inclusive Leadership, Harassment, Bullying and Microagression Prevention, Bias, Work-Life Balance","improve workplace culture, increase diversity and improve inclusion.",No,,,,Scaling,Scaling
56,,Advanced Strategic Platform for Inclusive Research Environments (ASPIRE),University of Lincoln,University of Lincoln,https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,Available,Included  ,,2026-02-05 00:00:00,2018-12-01 00:00:00,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Multiple Universities/Organisations,Any,Not Specified,,,"Inclusive Workplaces, Disseminating good practice, Barrier Removal",,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,Not Specified,Career Progression of staff,Pilot in single setting,Pilot in single setting
57,,Evidence-Base; Growing the Big Grant Club (EBASE) ,University of Edinburgh,University of Edinburgh,https://ebaseevidencebase.wordpress.com/,Available,Included  ,,2026-02-05 00:00:00,2018-12-01 00:00:00,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Single University/Organisation,EPS - general,"Sex, Race, Trans Identity, Sexual Orientation", Leadership Development,,Systemic Change,,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,,,Pilot in single setting,Pilot in single setting
58,,Inclusion Really Does Matter,Queens University Belfast ,Queens University Belfast ,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,University/Organisation,Non-EPS,Sex,,," Diverse Representation, Policy Review & Reform ",,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,,,Proof of Concept,Proof of Concept
59,,Creating An Inclusive Environment,AdvanceHE,AdvanceHE,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Collection,Webpage,"Policies, Strategies & Processes",Databases and List,Webpage,Academia,Multiple Universities/Organisations,Any,Not Specified,,,"Accessible & Inclusive Workspaces, Harassment, Bullying and Microagression Prevention, Belonging Initiatives, Policy Review & Reform",,No,,,,Pilot in single setting,Pilot in single setting
60,,Resources,TIGERSTEMM,TIGERSTEMM,https://www.tigerinstemm.org/resources,Page not found,Excluded,Page not found.,2026-02-05 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
61,,Disability Inclusive Science Careers (DISC),"Heriot Watt University, project","Heriot Watt University, project",http://disc.hw.ac.uk/,Available,Excluded,Incomplete resource ,2025-04-24 00:00:00,,Anna Linton,,Project,Webpage,,,,Other,Multiple Universities/Organisations,EPS - not specified,"Disability, Neurodiversity",,,,,,,,,Pilot in single setting,Pilot in single setting
62,Example,STEM Equals,University of Strathclyde,University of Strathclyde,https://www.stemequals.ac.uk/,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,"Academia, Industry",University/Organisation,EPS - general,"Sex, Sex, Trans Identity, Sexual Orientation","Recruitment Strategies, Career Progression,  Leadership Development, Retention Strategies, Visibility & Recognition", Targeted Grants, Belonging Initiatives,,Yes,https://strathprints.strath.ac.uk/91811/1/Reggiani-Gagnon-STEM-Equals-2021-Report.pdf,"Interviews, Focus groups","Persistant inequalities, Evidence of good practice, Data and monitoring, Securing funding",Pilot in single setting,Pilot in single setting
