ID,Title,Link,url_status,http_status_code,final_url,content_type,detected_type,content_length,final_decision,skip_reason
35,UKRI Good Practice Principles in Recruitment and Training at A Doctoral Level,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,ok,200,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,text/html; charset=UTF-8,html,,extract,
36,"Equality, Diversity and Inclusion Champions",https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,ok,200,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,text/html,html,,extract,
38,Making Meetings and Events Accessible,https://documents.manchester.ac.uk/display.aspx?DocID=11993,ok,200,https://documents.manchester.ac.uk/display.aspx?DocID=11993,application/pdf,pdf,210953,extract,
39,Towards Diverse Workforces: Transforming The Language of Exclusion and Bias in Recruitment,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,ok,200,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,application/pdf,pdf,1799993,extract,
40,Best Practice Guide: Developing Inclusive Conferences,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,ok,200,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,application/pdf,pdf,3495629,extract,
41,HR EDI Online Inclusive Recruitment Guide,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,ok,200,https://login.st-andrews.ac.uk/idp/profile/SAML2/Redirect/SSO?execution=e1s1,text/html;charset=utf-8,html,,extract,
42,"Equality, Diversity and Inclusion Champions",https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,ok,200,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,text/html; charset=UTF-8,html,20,extract,
44,100 Black Women Professors Now Impact Report,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,ok,200,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,application/pdf,pdf,3383417,extract,
46,SCUPLT For Accessibility,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,ok,200,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,application/pdf,pdf,169178,extract,
47,National Association of Disabled Staff Networks,https://www.nadsn-uk.org/,ok,200,https://www.nadsn-uk.org/,text/html; charset=UTF-8,html,,extract,
48,Association For Black and Ethnic Minority Engineers,https://www.afbe.org.uk/,ok,200,https://afbe.org.uk/,text/html; charset=utf-8,html,,extract,
52,Tech Talent Charter Toolkit,https://www.techtalentcharter.co.uk/,ok,200,https://www.techtalentcharter.co.uk/,text/html; charset=UTF-8,html,,extract,
53,Neuro-Inclusive Meetings and Events Toolkit,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,error,,,,unknown,,skip,unreachable_or_error
54,"Equality, Diversity and Inclusion Strategies in STEM - Briefing",https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,ok,200,https://www.britishscienceassociation.org/Handlers/Download.ashx?IDMF=b0479031-7e8b-4a0e-b3c6-80b7c383a183,application/pdf,pdf,2058060,extract,
55,"Mission Critical Toolkit: Improving National Security Culture, Diversity & Inclusion",01122021_Mission Critical Toolkit_DIGITAL.pdf,error,,,,pdf,,skip,unreachable_or_error
56,Advanced Strategic Platform for Inclusive Research Environments (ASPIRE),https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,ok,200,https://eleanorglanvilleinstitute.lincoln.ac.uk/research/inclusive-environments/aspire/,text/html; charset=UTF-8,html,,extract,
57,Evidence-Base; Growing the Big Grant Club (EBASE),https://ebaseevidencebase.wordpress.com/,ok,200,https://ebaseevidencebase.wordpress.com/,text/html; charset=UTF-8,html,,extract,
58,Inclusion Really Does Matter,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,ok,200,https://www.qub.ac.uk/sites/InclusionReallyDoesMatter/,text/html; charset=UTF-8,html,,extract,
59,Creating An Inclusive Environment,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,ok,200,https://www.advance-he.ac.uk/guidance/equality-diversity-and-inclusion/creating-inclusive-environment,text/html; charset=UTF-8,html,,extract,
62,STEM Equals,https://www.stemequals.ac.uk/,ok,200,https://www.stemequals.ac.uk/,text/html; charset=utf-8,html,31588,extract,
63,STEMM-Change,https://www.stemm-change.co.uk/project-overview/,ok,200,https://www.stemm-change.co.uk/project-overview/,text/html; charset=UTF-8,html,,extract,
64,Let’s Be Clear About EDI: Conversation Guides/Aids from University of Nottingham,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,ok,200,https://www.nottingham.ac.uk/edi/edi-conversation-guides.aspx,text/html; charset=utf-8,html,43659,extract,
65,Social Inclusion Projects,https://warwick.ac.uk/services/socialinclusion/projects/,ok,200,https://warwick.ac.uk/services/socialinclusion/projects/,text/html;charset=UTF-8,html,,extract,
67,Code Of Conduct,https://www.kcl.ac.uk/policyhub,ok,200,https://www.kcl.ac.uk/policyhub,text/html; charset=utf-8,html,69033,extract,
70,Report And support,https://www.reportandsupport.manchester.ac.uk/,ok,200,https://www.reportandsupport.manchester.ac.uk/,text/html; charset=utf-8,html,42108,extract,
71,Report + Support,https://reportandsupport.nottingham.ac.uk/,ok,200,https://reportandsupport.nottingham.ac.uk/,text/html; charset=utf-8,html,33485,extract,
72,Tackling Racism and Racial Harassment: Directory of Initiatives at UK Universities,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,ok,200,https://www.universitiesuk.ac.uk/what-we-do/policy-and-research/publications/tackling-racism-and-racial-harassment,text/html; charset=UTF-8,html,,extract,
73,Majority Allies,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies,ok,200,https://raeng.org.uk/policy-and-resources/equity-diversity-and-inclusion-research-and-resources/inclusive-cultures/majority-allies/,text/html; charset=utf-8,html,,extract,
76,Promoting EDI In University Spinout Companies,https://www.brookes.ac.uk/Research/Units/OBBS/Projects/Women-and-Spinouts/,ok,200,https://www.brookes.ac.uk/research/units/obbs/projects/women-and-spinouts,text/html; charset=utf-8,html,18651,extract,
79,Inclusive Cultures Toolkit,https://raeng.org.uk/policy-and-resources/diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit,ok,200,https://raeng.org.uk/policy-and-resources/equity-diversity-and-inclusion-research-and-resources/inclusive-cultures/inclusive-cultures-toolkit/,text/html; charset=utf-8,html,,extract,
80,Research Fellowships,"https://www.raeng.org.uk/grants-prizes/grants/support-for-research/raeng-research-fellowship?dm_i=4S2P,JECP,24GQFK,2B8EM,1",ok,200,https://www.raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/research-fellowships,text/html; charset=utf-8,html,,extract,
81,Research Chairs and Senior Research Fellowship,https://www.raeng.org.uk/grants-prizes/grants/support-for-research/research-chairs?dm_i,ok,200,https://www.raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/research-chairs-and-senior-research-fellowships,text/html; charset=utf-8,html,,extract,
